delivery_year,lda,clearing_price,mw_cleared
2021/22,RTO,140.0,163627.3
2021/22,MAAC,140.0,67365.9
2021/22,EMAAC,165.73,29288.5
2021/22,SWMAAC,140.0,10106.7
2021/22,PS,204.29,5367.6
2021/22,PS NORTH,204.29,3133.3
2021/22,DPL SOUTH,165.73,1673.8
2021/22,PEPCO,140.0,5948.8
2021/22,ATSI,171.32999999999998,8007.3
2021/22,ATSI-Cleveland,171.32999999999998,1248.0
2021/22,COMED,195.55,22358.1
2021/22,BGE,200.3,1937.7
2021/22,PL,140.0,11233.1
2021/22,DAYTON,140.0,1636.7
2021/22,DEOK,140.0,2733.3
2022/23,AE,,2856.4566671389393
2022/23,AEP,,13261.918954658155
2022/23,APS,,10258.787223918358
2022/23,ATSI,50.0,14272.785557915347
2022/23,ATSI-Cleveland,50.0,1912.5
2022/23,BGE,126.5,7611.28166792508
2022/23,COMED,68.96000000000001,22940.695003792902
2022/23,DAYTON,50.0,3940.3905562070404
2022/23,DEOK,71.69,5304.609623772662
2022/23,DLCO,,3160.3855560780785
2022/23,DOM,,3407.9463412067507
2022/23,DPL,,4429.526111843467
2022/23,DPL SOUTH,97.85999999999999,1305.3
2022/23,EKPC,,2758.404505008906
2022/23,EMAAC,97.85999999999999,29333.8
2022/23,JCPL,,6694.7461122179875
2022/23,MAAC,95.78999999999999,64614.2
2022/23,METED,,3548.607222808932
2022/23,OVEC,,65.29722223301815
2022/23,PECO,,9678.235557155707
2022/23,PENLC,,3350.3411116650404
2022/23,PEPCO,95.78999999999999,6698.307778885244
2022/23,PL,95.78999999999999,8596.676112532445
2022/23,PS,97.85999999999999,11196.692779628982
2022/23,PS NORTH,97.85999999999999,2527.2
2022/23,RECO,,445.20833340694185
2022/23,RTO,50.0,144477.3
2022/23,SWMAAC,95.78999999999999,8284.1
2023/24,AE,,2875.2483312407912
2023/24,AEP,,13165.363564600224
2023/24,APS,,10173.587012040332
2023/24,ATSI,34.13,14288.786186128717
2023/24,ATSI-Cleveland,34.13,1899.9
2023/24,BGE,69.95,7432.516936257444
2023/24,COMED,34.13,23906.491854129163
2023/24,DAYTON,34.13,3761.7832333733686
2023/24,DEOK,34.13,5116.968104059135
2023/24,DLCO,,3179.545446297108
2023/24,DOM,,3621.399512162595
2023/24,DPL,,4506.951759219939
2023/24,DPL SOUTH,69.95,1324.0
2023/24,EKPC,,2824.6172982816047
2023/24,EMAAC,49.49,30097.5
2023/24,JCPL,,6735.269215931553
2023/24,MAAC,49.49,62929.4
2023/24,METED,,3414.3573933484395
2023/24,OVEC,,83.86140966118974
2023/24,PECO,,9715.94331931784
2023/24,PENLC,,3244.238533750026
2023/24,PEPCO,49.49,6859.863310285321
2023/24,PL,49.49,8404.111268189228
2023/24,PS,49.49,11109.240739831605
2023/24,PS NORTH,49.49,3344.6
2023/24,RECO,,450.4555718943906
2023/24,RTO,34.13,144870.6
2023/24,SWMAAC,49.49,8374.9
2024/25,AE,,2918.677505435836
2024/25,AEP,,13441.157259316604
2024/25,APS,,10383.873492661467
2024/25,ATSI,28.92,14616.503355692425
2024/25,ATSI-Cleveland,28.92,1885.2
2024/25,BGE,73.0,7556.442678725291
2024/25,COMED,28.92,24121.975364850485
2024/25,DAYTON,28.92,3831.14442043245
2024/25,DEOK,96.24,5230.352444603956
2024/25,DLCO,,3258.1151978145763
2024/25,DOM,,3805.514421728864
2024/25,DPL,,4607.349609456236
2024/25,DPL SOUTH,426.17,1448.5
2024/25,EKPC,,2906.219535036995
2024/25,EMAAC,53.6,30681.0
2024/25,JCPL,,6794.836960341452
2024/25,MAAC,49.49,64199.299999999996
2024/25,METED,,3478.3238799670917
2024/25,OVEC,,85.1635787330173
2024/25,PECO,,9892.357981116622
2024/25,PENLC,,3294.6138744144405
2024/25,PEPCO,49.49,6976.113720787445
2024/25,PL,49.49,8552.856549901593
2024/25,PS,53.6,11270.791334038175
2024/25,PS NORTH,53.6,3470.8
2024/25,RECO,,455.0168349449781
2024/25,RTO,28.92,147477.4
2024/25,SWMAAC,49.49,8468.4
2025/26,AE,,2245.7323218479987
2025/26,AEP,,11969.228794440483
2025/26,APS,,8426.025815647097
2025/26,ATSI,269.92,11422.242781781453
2025/26,ATSI-Cleveland,269.92,1614.0
2025/26,BGE,466.35,5968.593886389224
2025/26,COMED,269.92,17964.90497294881
2025/26,DAYTON,269.92,2989.5417532880997
2025/26,DEOK,269.92,4047.181548685814
2025/26,DLCO,,2500.3440118409562
2025/26,DOM,444.26,21952.86784766997
2025/26,DPL,,3502.5795406147345
2025/26,DPL SOUTH,269.92,956.9
2025/26,EKPC,,2232.477256339002
2025/26,EMAAC,269.92,24373.3
2025/26,JCPL,,5453.648895392232
2025/26,MAAC,269.92,51303.2
2025/26,METED,,2820.754228461308
2025/26,OVEC,,57.21611011077704
2025/26,PECO,,7742.293299823313
2025/26,PENLC,,2617.637037568049
2025/26,PEPCO,269.92,5548.055477075012
2025/26,PL,269.92,6713.356919664506
2025/26,PS,269.92,9139.319988361452
2025/26,PS NORTH,269.92,2507.4
2025/26,RECO,,369.99751204969147
2025/26,RTO,269.92,135684.0
2025/26,SWMAAC,269.92,5060.8
2026/27,AE,,2159.980103643473
2026/27,AEP,,12278.402782299621
2026/27,APS,,8007.753429560065
2026/27,ATSI,329.17,11437.556652160396
2026/27,ATSI-Cleveland,329.17,1609.7
2026/27,BGE,329.17,5784.648113230698
2026/27,COMED,329.17,17602.785757816204
2026/27,DAYTON,329.17,2888.2071949184424
2026/27,DEOK,329.17,3918.0630198534086
2026/27,DLCO,,2399.6729402189026
2026/27,DOM,329.17,22133.163340722804
2026/27,DPL,,3437.122087839274
2026/27,DPL SOUTH,329.17,998.0
2026/27,EKPC,,2178.643210002781
2026/27,EMAAC,329.17,23939.8
2026/27,JCPL,329.17,5257.689816026699
2026/27,MAAC,329.17,51551.8
2026/27,METED,,2752.808187997971
2026/27,OVEC,,54.891489292083165
2026/27,PECO,,7482.624848665802
2026/27,PENLC,,2557.9434010110754
2026/27,PEPCO,329.17,5369.302510920602
2026/27,PL,329.17,7004.154033669813
2026/27,PS,329.17,9142.177541596451
2026/27,PS NORTH,329.17,2361.5
2026/27,RECO,,357.7095385534086
2026/27,RTO,329.17,134205.3
2026/27,SWMAAC,329.17,6446.0
2027/28,AE,,2080.134624559727
2027/28,AEP,,12505.606976441997
2027/28,APS,,7951.638933934298
2027/28,ATSI,333.44,11201.13222524907
2027/28,ATSI-Cleveland,333.44,1651.6
2027/28,BGE,333.44,5584.680485453522
2027/28,COMED,333.44,17119.41088129384
2027/28,DAYTON,333.44,3049.157881991454
2027/28,DEOK,333.44,4519.46093015289
2027/28,DLCO,,2320.184101810574
2027/28,DOM,333.44,22962.67407569773
2027/28,DPL,,3308.6231257846484
2027/28,DPL SOUTH,333.44,959.6
2027/28,EKPC,,2129.556575758431
2027/28,EMAAC,333.44,23863.2
2027/28,JCPL,333.44,5071.927741766971
2027/28,MAAC,333.44,51665.7
2027/28,METED,,2680.258317686844
2027/28,OVEC,,52.95209057003972
2027/28,PECO,,7287.972732123133
2027/28,PENLC,,2474.627699306523
2027/28,PEPCO,333.44,5195.482619763731
2027/28,PL,333.44,7693.938759826771
2027/28,PS,333.44,8944.490632122544
2027/28,PS NORTH,333.44,2379.7
2027/28,RECO,,344.1885887052582
2027/28,RTO,333.44,134478.1
2027/28,SWMAAC,333.44,6482.6
