delivery_year,lda,vrr_design,cetl_mw,reliability_req_mw,net_cone,vrr_pt_a_price,vrr_pt_b_price,vrr_pt_c_price,vrr_pt_d_price,vrr_pt_a_mw,vrr_pt_b_mw,vrr_pt_c_mw,vrr_pt_d_mw
2021/22,RTO,old,,153160.80000000002,321.57,482.36,241.18,0.0,,156809.19999999998,160909.3,168712.9,
2021/22,MAAC,old,4019.0,64919.0,292.69,439.04,219.52,0.0,,66148.8,67886.7,71194.29999999999,
2021/22,EMAAC,old,9000.0,35994.0,313.77,470.66,235.33,0.0,,36864.200000000004,37827.8,39661.700000000004,
2021/22,SWMAAC,old,9082.0,15259.0,264.88,410.34,198.66,0.0,,15463.800000000001,15872.300000000001,16649.8,
2021/22,PS,old,6902.0,11501.0,330.61,495.92,247.96,0.0,,11858.5,12166.4,12752.4,
2021/22,PS NORTH,old,3180.0,5810.0,330.61,495.92,247.96,0.0,,5883.8,6039.3,6335.3,
2021/22,DPL SOUTH,old,1624.0,2907.0,300.18,450.27,225.14,0.0,,2919.2,2997.0,3145.1,
2021/22,PEPCO,old,6915.0,8073.0,285.42,428.13,214.07,0.0,,8178.200000000001,8394.300000000001,8805.6,
2021/22,ATSI,old,8439.0,15598.0,306.87,460.31,230.15,0.0,,15825.7,16243.2,17037.899999999998,
2021/22,ATSI-Cleveland,old,5256.0,5258.0,306.87,460.31,230.15,0.0,,5298.799999999999,5439.599999999999,5707.5,
2021/22,COMED,old,5574.0,26112.0,344.36,516.54,258.27,0.0,,26910.0,27609.0,28939.399999999998,
2021/22,BGE,old,6005.0,7910.0,244.33,410.34,183.25,0.0,,8008.400000000001,8220.2,8623.2,
2021/22,PL,old,6609.0,9974.0,300.72,451.08,225.54,0.0,,10060.8,10327.8,10836.0,
2021/22,DAYTON,old,3502.0,3979.0,312.56,468.84,234.42,0.0,,4082.7999999999997,4189.3,4392.099999999999,
2021/22,DEOK,old,4959.0,7129.0422,312.8,469.2,234.6,0.0,,7240.099999999999,7431.0,7794.2,
2022/23,RTO,old,,132256.6,260.5,390.75,195.38,0.0,,136075.5,139656.3,146471.2,
2022/23,MAAC,old,4375.0,64514.0,245.12,367.68,183.84,0.0,,65900.3,67646.9,70971.2,
2022/23,EMAAC,old,9173.0,35884.0,259.36,389.04,194.52,0.0,,36659.9,37631.5,39480.5,
2022/23,SWMAAC,old,8310.0,14934.0,242.95,364.43,182.21,0.0,,15258.6,15662.9,16432.399999999998,
2022/23,PS,old,8626.0,11686.0,268.44,402.66,201.33,0.0,,11979.6,12296.0,12898.2,
2022/23,PS NORTH,old,4360.0,6180.0,268.44,402.66,201.33,0.0,,6312.9,6480.3,6798.7,
2022/23,DPL SOUTH,old,2053.0,3155.0,236.18,354.27,177.14,0.0,,3171.7000000000003,3257.2000000000003,3419.7000000000003,
2022/23,PEPCO,old,6781.0,7701.0,259.52,389.28,194.64,0.0,,7897.8,8106.3,8503.1,
2022/23,ATSI,old,9119.0,15011.0,230.5,345.75,172.88,0.0,,15282.6,15689.0,16462.5,
2022/23,ATSI-Cleveland,old,5229.0,5761.0,230.5,345.75,172.88,0.0,,5746.1,5902.1,6199.0,
2022/23,COMED,old,6839.0,23931.0,247.86,371.79,185.9,0.0,,24612.9,25260.8,26493.9,
2022/23,BGE,old,5683.0,7828.0,226.37,339.56,169.78,0.0,,7949.7,8161.599999999999,8565.0,
2022/23,PL,old,4850.0,10244.0,250.41,375.62,187.81,0.0,,10380.6,10658.0,11185.8,
2022/23,DAYTON,old,3941.0,3950.0,226.32,339.48,169.74,0.0,,4001.7,4108.6,4312.200000000001,
2022/23,DEOK,old,5465.0,7102.1034,223.63,335.45,167.72,0.0,,7178.0,7370.3,7736.2,
2023/24,RTO,old,,131820.40000000002,274.96,412.44,206.22,0.0,,135913.6,139473.2,146247.9,
2023/24,MAAC,old,6381.0,63819.0,275.08,412.62,206.31,0.0,,65350.1,67073.4,70353.3,
2023/24,EMAAC,old,8704.0,35590.0,291.36,437.04,218.52,0.0,,36396.7,37357.7,39186.799999999996,
2023/24,SWMAAC,old,8389.0,14329.0,244.72,367.08,183.54,0.0,,14719.300000000001,15106.300000000001,15842.7,
2023/24,PS,old,9022.0,11217.0,299.61,449.42,224.71,0.0,,11482.800000000001,11785.7,12362.2,
2023/24,PS NORTH,old,4349.0,5768.0,299.61,449.42,224.71,0.0,,5883.599999999999,6039.4,6335.799999999999,
2023/24,DPL SOUTH,old,2008.0,3141.0,264.91,397.37,198.68,0.0,,3159.3999999999996,3244.2,3405.6,
2023/24,PEPCO,old,7160.0,7163.0,270.0,405.0,202.5,0.0,,7371.200000000001,7564.700000000001,7932.8,
2023/24,ATSI,old,10213.0,14649.0,263.07,394.61,197.3,0.0,,14920.699999999999,15316.199999999999,16069.099999999999,
2023/24,ATSI-Cleveland,old,4728.0,5363.0,263.07,394.61,197.3,0.0,,5349.799999999999,5494.7,5770.299999999999,
2023/24,COMED,old,5781.0,24077.0,284.97,427.46,213.73,0.0,,24786.5,25436.7,26674.100000000002,
2023/24,BGE,old,5615.0,7522.0,219.44,335.47,164.58,0.0,,7700.4,7903.5,8290.1,
2023/24,PL,old,4916.0,10251.0,279.52,419.28,209.64,0.0,,10431.699999999999,10708.6,11235.4,
2023/24,DAYTON,old,4022.0,3924.0,246.93,370.4,185.2,0.0,,3976.5,4082.4,4284.1,
2023/24,DEOK,old,5632.0,6658.4207,252.63,378.95,189.47,0.0,,6746.1,6925.900000000001,7268.1,
2024/25,RTO,old,,132055.7,293.19,439.79,219.89,0.0,,138341.30000000002,141910.40000000002,148703.1,
2024/25,MAAC,old,5965.0,63518.0,294.06,441.09,220.55,0.0,,66245.8,67962.5,71229.7,
2024/25,EMAAC,old,8594.0,35415.0,312.39,468.59,234.29,0.0,,36951.2,37908.299999999996,39730.0,
2024/25,SWMAAC,old,7947.0,14299.0,261.07,391.61,195.8,0.0,,14915.6,15302.1,16037.6,
2024/25,PS,old,8287.0,11166.0,321.21,481.82,240.91,0.0,,11725.7,12027.5,12601.8,
2024/25,PS NORTH,old,4253.0,5715.0,321.21,481.82,240.91,0.0,,5984.7,6139.2,6433.1,
2024/25,DPL SOUTH,old,2009.0,3514.0,284.11,426.17,213.08,0.0,,3577.0,3672.0,3852.8,
2024/25,PEPCO,old,7033.0,7151.0,288.07,432.11,216.05,0.0,,7463.8,7657.1,8024.900000000001,
2024/25,ATSI,old,10465.0,14434.0,279.35,419.03,209.51,0.0,,14862.6,15252.7,15995.2,
2024/25,ATSI-Cleveland,old,4941.0,5374.0,279.35,419.03,209.51,0.0,,5372.7,5517.9,5794.4,
2024/25,COMED,old,4640.4,23859.0,302.76,454.14,227.07,0.0,,24672.7,25317.5,26544.8,
2024/25,BGE,old,5397.0,7514.0,234.07,357.45,175.55,0.0,,7814.0,8017.1,8403.6,
2024/25,PL,old,4337.0,10214.0,297.25,445.88,222.94,0.0,,10484.7,10760.800000000001,11286.2,
2024/25,DAYTON,old,3918.0,3922.0,262.17,393.26,196.63,0.0,,4008.0,4114.0,4315.7,
2024/25,DEOK,old,4999.0,6589.144,268.26,402.39,201.2,0.0,,6704.099999999999,6882.2,7221.099999999999,
2025/26,RTO,old,,133563.6,228.81,451.61,171.61,0.0,,133554.19999999998,137160.4,144105.69999999998,
2025/26,MAAC,old,3222.0,53342.299999999996,250.98,456.19,188.24,0.0,,53429.58047,54869.880470000004,57643.68047,
2025/26,EMAAC,old,8717.0,30953.4,310.88,466.32,233.16,0.0,,31023.0,31858.8,33468.299999999996,
2025/26,SWMAAC,old,8467.0,13508.8,134.57,466.35,100.93,0.0,,13512.0,13876.699999999999,14579.199999999999,
2025/26,PS,old,8501.0,10664.0,330.97,496.46,248.23,0.0,,10713.900000000001,11001.800000000001,11556.400000000001,
2025/26,PS NORTH,old,4282.0,5415.799999999999,330.97,496.46,248.23,0.0,,5444.599999999999,5590.9,5872.5,
2025/26,DPL SOUTH,old,2030.0,2750.4000000000005,245.68,461.66,184.26,0.0,,2744.1,2818.4,2961.4,
2025/26,PEPCO,old,6572.0,6557.3,223.8,466.35,167.85,0.0,,6565.2,6742.2,7083.2,
2025/26,ATSI,old,10846.0,12186.0,236.78,444.26,177.59,0.0,,12120.5,12449.5,13083.1,
2025/26,ATSI-Cleveland,old,4713.0,5064.0,236.78,444.26,177.59,0.0,,5014.8709,5151.5709,5414.970899999999,
2025/26,COMED,old,5254.0,20819.599999999988,300.32,450.48,225.24,0.0,,20928.199999999997,21490.3,22572.899999999998,
2025/26,BGE,old,6031.0,6940.699999999999,45.34,466.35,34.01,0.0,,6936.21055,7123.61055,7484.51055,
2025/26,PL,old,4681.0,8765.400000000001,260.21,438.47,195.16,0.0,,8714.7,8951.300000000001,9407.1,
2025/26,DAYTON,old,3931.0,3521.8,191.38,444.26,143.54,0.0,,3501.6,3596.6,3779.8,
2025/26,DEOK,old,5387.0,5561.740400000001,205.25,444.26,153.94,0.0,,5525.5,5675.599999999999,5964.799999999999,
2025/26,DOM,old,5164.0,25746.19999999999,152.69,444.26,114.52,0.0,,25617.22841,26312.32841,27651.12841,
2026/27,RTO,new,,134519.5,212.14,329.17,177.24,177.24,,134887.3,136361.4,140572.9,
2026/27,MAAC,new,2715.0,52587.1,267.33,329.17,200.5,177.24,177.24,52789.0,53375.9,53558.9,54953.5
2026/27,EMAAC,new,8083.0,30428.6,323.0,329.17,242.25,177.24,177.24,30680.3,30885.0,31130.0,31797.9
2026/27,SWMAAC,new,6999.0,13338.7,171.02,329.17,177.24,177.24,,13358.0,13494.7,13938.9,
2026/27,PS,new,8889.0,10797.6,369.29,329.17,276.97,177.24,177.24,10921.4,10959.6,11076.2,11283.5
2026/27,PS NORTH,new,4425.0,5390.4,369.29,329.17,276.97,177.24,177.24,5452.2,5471.3,5529.5,5633.0
2026/27,DPL SOUTH,new,1948.0,2634.1,216.17,329.17,177.24,177.24,,2638.8,2670.4,2752.6,
2026/27,PEPCO,new,5870.0,6457.9,261.07,329.17,195.8,177.24,177.24,6483.7,6554.8,6573.2,6748.5
2026/27,ATSI,new,10406.0,11923.5,204.03,329.17,177.24,177.24,,11958.7,12082.6,12460.1,
2026/27,ATSI-Cleveland,new,5199.0,5329.6,204.03,329.17,177.24,177.24,,5345.3,5400.7,5569.4,
2026/27,COMED,new,6110.0,20669.5,352.25,329.17,264.19,177.24,177.24,20884.2,20979.5,21183.6,21599.6
2026/27,BGE,new,6000.0,6995.6,80.97,329.17,177.24,177.24,,6993.3,7054.0,7310.4,
2026/27,PL,new,3205.0,9521.8,317.14,329.17,237.86,177.24,177.24,9596.1,9664.6,9737.4,9950.3
2026/27,DAYTON,new,4157.0,3521.3,162.73,329.17,177.24,177.24,,3528.1,3561.8,3679.8,
2026/27,DEOK,new,5280.0,5476.95,194.21,329.17,177.24,177.24,,5491.7,5547.5,5723.4,
2026/27,DOM,new,7374.0,25660.7,146.43,329.17,177.24,177.24,,25701.2,25939.8,26815.4,
2026/27,JCPL,new,4263.0,6184.5,361.37,329.17,271.03,177.24,177.24,6252.4,6277.3,6341.5,6462.8
2027/28,RTO,new,,141101.2,242.52,333.44,181.89,179.55,179.55,141681.1,143217.7,143272.2,147450.8
2027/28,MAAC,new,2598.0,54568.8,301.5,333.44,226.13,179.55,179.55,54901.8,55387.3,55724.5,57024.4
2027/28,EMAAC,new,8025.0,30950.7,358.84,333.44,269.13,179.55,179.55,31276.3,31415.0,31724.1,32343.5
2027/28,SWMAAC,new,6698.0,13494.8,218.78,333.44,179.55,179.55,,13538.4,13682.7,14102.1,
2027/28,PS,new,9307.0,11041.5,405.43,333.44,304.07,179.55,179.55,11187.1,11207.1,11342.8,11538.4
2027/28,PS NORTH,new,4623.0,5508.3,405.43,333.44,304.07,179.55,179.55,5580.9,5590.9,5658.6,5756.2
2027/28,DPL SOUTH,new,1974.0,2616.1,262.61,333.44,196.96,179.55,179.55,2626.3,2655.3,2662.2,2733.8
2027/28,PEPCO,new,6776.0,6523.0,292.3,333.44,219.23,179.55,179.55,6559.7,6620.8,6656.2,6816.5
2027/28,ATSI,new,9919.0,12210.8,228.35,333.44,179.55,179.55,,12260.7,12387.2,12760.3,
2027/28,ATSI-Cleveland,new,4938.0,5455.9,228.35,333.44,179.55,179.55,,5478.2,5534.7,5701.4,
2027/28,COMED,new,3965.0,21307.0,379.08,333.44,284.31,179.55,179.55,21557.6,21626.6,21862.1,22265.8
2027/28,BGE,new,5975.0,7080.9,145.25,333.44,179.55,179.55,,7091.3,7157.0,7399.5,
2027/28,PL,new,6181.0,10697.5,315.4,333.44,236.55,179.55,179.55,10775.8,10858.0,10935.3,11178.9
2027/28,DAYTON,new,4665.0,3724.7,193.82,333.44,179.55,179.55,,3736.5,3772.6,3892.3,
2027/28,DEOK,new,4938.0,5554.5,219.44,333.44,179.55,179.55,,5575.8,5632.3,5804.5,
2027/28,DOM,new,6598.0,27507.3,178.14,333.44,179.55,179.55,,27584.1,27842.7,28745.1,
2027/28,JCPL,new,4331.0,6212.7,399.53,333.44,299.65,179.55,179.55,6292.8,6305.9,6380.6,6492.3
2028/29,RTO,new,,156012.9,,,,,,,,,
2028/29,MAAC,new,1318.0,54479.4,,,,,,,,,
2028/29,EMAAC,new,6904.0,31225.9,,,,,,,,,
2028/29,SWMAAC,new,5862.0,13327.0,,,,,,,,,
2028/29,PS,new,8873.0,10851.1,,,,,,,,,
2028/29,PS NORTH,new,4656.0,5230.7,,,,,,,,,
2028/29,DPL SOUTH,new,2005.0,2683.9,,,,,,,,,
2028/29,PEPCO,new,5770.0,6488.6,,,,,,,,,
2028/29,ATSI,new,11803.0,12544.3,,,,,,,,,
2028/29,ATSI-Cleveland,new,5430.0,5212.0,,,,,,,,,
2028/29,COMED,new,1586.0,22817.2,,,,,,,,,
2028/29,BGE,new,5658.0,6991.2,,,,,,,,,
2028/29,PL,new,5312.0,10154.9999999999,,,,,,,,,
2028/29,DAYTON,new,4432.0,3792.1,,,,,,,,,
2028/29,DEOK,new,5934.0,5661.1,,,,,,,,,
2028/29,DOM,new,5992.0,30015.5,,,,,,,,,
2028/29,JCPL,new,5312.0,6258.2,,,,,,,,,
